data_completa,dia,mes,ano
2012-01-01,01,01,2012
2012-01-02,01,02,2012
2012-01-03,01,03,2012
2012-01-04,01,04,2012
2012-01-05,01,05,2012
2012-01-06,01,06,2012
2012-01-07,01,07,2012
2012-01-08,01,08,2012
2012-01-09,01,09,2012
2012-01-10,01,10,2012
2012-01-11,01,11,2012
2012-01-12,01,12,2012
2012-02-02,02,02,2012
2012-03-03,03,03,2012
2012-04-04,04,04,2012
2012-04-05,04,05,2012
2012-04-06,04,06,2012
2012-04-07,04,07,2012
2012-04-08,04,08,2012
2012-04-09,04,09,2012
2012-04-10,04,10,2012
2012-04-11,04,11,2012
2012-04-12,04,12,2012
2013-02-01,02,01,2013
2013-02-02,02,02,2013
2013-02-03,02,03,2013
2013-02-04,02,04,2013
2013-02-05,02,05,2013
2013-02-06,02,06,2013
2013-02-07,02,07,2013
2013-02-08,02,08,2013
2013-02-09,02,09,2013
2013-02-10,02,10,2013
2013-02-11,02,11,2013
2013-02-12,02,12,2013
2013-03-13,13,03,2013
2013-03-14,14,03,2013
2013-04-15,15,04,2013
2013-04-16,16,04,2013
2013-05-17,17,05,2013
2013-05-18,18,05,2013
2013-05-19,19,05,2013
2013-06-20,20,06,2013
2013-07-21,21,07,2013
2013-07-22,22,07,2013
2013-09-01,09,01,2013
2013-09-23,23,09,2013
2013-10-01,10,01,2013
2013-10-24,24,10,2013
2013-11-02,11,02,2013
2013-11-25,25,11,2013
2013-11-26,26,11,2013
2013-11-27,27,11,2013
2013-12-03,12,03,2013
2014-01-01,01,01,2014
2014-01-02,01,02,2014
2014-01-03,01,03,2014
2014-01-04,01,04,2014
2014-01-05,01,05,2014
2014-01-06,01,06,2014
2014-01-07,01,07,2014
2014-01-08,01,08,2014
2014-01-09,01,09,2014
2014-01-10,01,10,2014
2014-01-11,01,11,2014
2014-01-12,01,12,2014
2014-02-02,02,02,2014
2014-03-03,03,03,2014
2014-04-04,04,04,2014
2014-04-05,04,05,2014
2014-04-06,04,06,2014
2014-04-07,04,07,2014
2014-04-08,04,08,2014
2014-04-09,04,09,2014
2014-04-10,04,10,2014
2014-04-11,04,11,2014
2014-04-12,04,12,2014
2015-02-01,02,01,2015
2015-02-02,02,02,2015
2015-02-03,02,03,2015
2015-02-04,02,04,2015
2015-02-05,02,05,2015
2015-02-06,02,06,2015
2015-02-07,02,07,2015
2015-02-08,02,08,2015
2015-02-09,02,09,2015
2015-02-10,02,10,2015
2015-02-11,02,11,2015
2015-02-12,02,12,2015
2015-03-13,13,03,2015
2015-03-14,14,03,2015
2015-04-15,15,04,2015
2015-04-16,16,04,2015
2015-05-17,17,05,2015
2015-05-18,18,05,2015
2015-05-19,19,05,2015
2015-06-20,20,06,2015
2015-07-21,21,07,2015
2015-07-22,22,07,2015
2015-09-01,09,01,2015
2015-09-23,23,09,2015
2015-10-01,10,01,2015
2015-10-24,24,10,2015
2015-11-02,11,02,2015
2015-11-25,25,11,2015
2015-11-26,26,11,2015
2015-11-27,27,11,2015
2015-12-03,12,03,2015
